Список салонов;;
Название;Юр.Лицо;Код салона
А21_ТЦ Ярмарка Мебели (Говорово);"ООО ""АРТИС 21""";149
А21_Формат №2 (г. Мытищи);"ООО ""АРТИС 21""";74
А21_Ярославка 3;"ООО ""АРТИС 21""";129
Ав_ТЦ Гранд (г.Химки);"ООО ""Аверс""";3
Ах_ТЦ Аквилон 2 (г. Санкт-Петербург);"ООО ""Артхол""";170
Ах_ТЦ Аквилон 3 (г. Санкт-Петербург);"ООО ""Артхол""";176
Ах_ТЦ Богатырь 2 (г. Санкт-Петербург);"ООО ""Артхол""";182
Ах_ТЦ Галерея Мебели (г.Тверь);"ООО ""Артхол""";73
Ах_ТЦ Гранд Каньон (г. Санкт-Петербург);"ООО ""Артхол""";171
Ах_ТЦ Мебель Сити (г. Санкт Петербург);"ООО ""Артхол""";121
Ах_ТЦ Мебель Холл (г.Санкт-Петербург);"ООО ""Артхол""";143
Ах_ТЦ Мебель Холл 2 (г.Санкт-Петербург);"ООО ""Артхол""";155
Ах_ТЦ Мебельвуд (г. Санкт-Петербург);"ООО ""Артхол""";125
Ах_ТЦ Мебельмолл (г. Колпино);"ООО ""Артхол""";179
Ах_ТЦ Мебельный Континент (г. Санкт-Петербург);"ООО ""Артхол""";168
Ах_ТЦ Плаза (г. Балашиха);"ООО ""Артхол""";20
Ах_ТЦ Тандем (г.Тверь);"ООО ""Артхол""";104
Кр_ТЦ БУМ (г. Нижний Новгород);"ООО ""Крона""";183
Кр_ТЦ Маяк (г. Владимир);"ООО ""Крона""";107
Кр_ТЦ Мега Молл (г. Чебоксары);"ООО ""Крона""";139
Кр_ТЦ МТВ-Центр (г.Чебоксары 1);"ООО ""Крона""";110
Кр_ТЦ Подкова (г. Владимир);"ООО ""Крона""";134
Кр_ТЦ Саша (г. Александров);"ООО ""Крона""";78
НН_ТЦ Мебельный Базар (г. Нижний Новгород);"ООО ""Крона""";187
НН_ТЦ Открытый Материк (НН);"ООО ""Крона""";50
НН_ТЦ Порт Уют (Дзержинск);"ООО ""Крона""";80
